class,method,pc,offset,length,key,text
N,public void bp();,528,29033,8,574924928,TIỆN ÍCH
N,public void bq();,45,28948,5,574924928,vMenu
N,public void bq();,86,29041,10,574924928,Cuồng Nộ: 
N,public void bq();,119,991,3,574924928,Bật
N,public void bq();,150,994,3,574924928,Tắt
N,public void bq();,213,29051,10,574924928,Bổ Huyết: 
N,public void bq();,248,991,3,574924928,Bật
N,public void bq();,280,994,3,574924928,Tắt
N,public void bq();,343,29061,8,574924928,Bổ Khí: 
N,public void bq();,378,991,3,574924928,Bật
N,public void bq();,410,994,3,574924928,Tắt
N,public void bq();,473,29069,10,574924928,Giáp Xên: 
N,public void bq();,508,991,3,574924928,Bật
N,public void bq();,540,994,3,574924928,Tắt
N,public void bq();,603,29079,9,574924928,Ẩn Danh: 
N,public void bq();,638,991,3,574924928,Bật
N,public void bq();,670,994,3,574924928,Tắt
N,public void bq();,733,29088,12,574924928,Khẩu Trang: 
N,public void bq();,768,991,3,574924928,Bật
N,public void bq();,799,994,3,574924928,Tắt
N,public void bq();,862,29100,8,574924928,Máy Dò: 
N,public void bq();,897,991,3,574924928,Bật
N,public void bq();,928,994,3,574924928,Tắt
N,public void bq();,991,29108,11,574924928,List Item: 
N,public void bq();,1053,28931,10,574924928,< Quay lại
N,public void bq();,1145,29119,9,574924928,AUTO ITEM
N,"public void a(int, java.lang.Object);",957,29128,16,574924928,Không có Capsule
N,"public void a(int, java.lang.Object);",1163,29144,17,574924928,Không có Bông tai
N,"public void a(int, java.lang.Object);",1236,29161,4,574924928,xmap
N,"public void a(int, java.lang.Object);",1275,29165,2,574924928,ts
N,"public void a(int, java.lang.Object);",1334,29167,5,574924928,view1
N,"public void a(int, java.lang.Object);",1377,29172,5,574924928,view2
N,"public void a(int, java.lang.Object);",1420,29177,5,574924928,view3
N,"public void a(int, java.lang.Object);",1463,29182,5,574924928,view4
N,"public void a(int, java.lang.Object);",1516,29187,7,574924928,annguoi
N,"public void a(int, java.lang.Object);",1559,29194,6,574924928,anquai
N,"public void a(int, java.lang.Object);",1602,29200,6,574924928,anitem
N,"public void a(int, java.lang.Object);",1652,29206,8,574924928,SuperEff
N,"public void a(int, java.lang.Object);",1758,29214,15,574924928,Xóa hào quang: 
N,"public void a(int, java.lang.Object);",1793,991,3,574924928,Bật
N,"public void a(int, java.lang.Object);",1825,994,3,574924928,Tắt
N,"public void a(int, java.lang.Object);",1879,29229,8,574924928,BombQCKK
N,"public void a(int, java.lang.Object);",1987,29237,26,574924928,Xóa hiệu ứng bom và qckk: 
N,"public void a(int, java.lang.Object);",2022,991,3,574924928,Bật
N,"public void a(int, java.lang.Object);",2054,994,3,574924928,Tắt
N,"public void a(int, java.lang.Object);",2110,29263,6,574924928,Fusion
N,"public void a(int, java.lang.Object);",2218,29269,22,574924928,Xóa hiệu ứng hợp thể: 
N,"public void a(int, java.lang.Object);",2253,991,3,574924928,Bật
N,"public void a(int, java.lang.Object);",2285,994,3,574924928,Tắt
N,"public void a(int, java.lang.Object);",2354,28948,5,574924928,vMenu
N,"public void a(int, java.lang.Object);",2388,28931,10,574924928,< Quay lại
N,"public void a(int, java.lang.Object);",2438,9705,2,574924928,HP
N,"public void a(int, java.lang.Object);",2505,9707,2,574924928,KI
N,"public void a(int, java.lang.Object);",2572,29291,8,574924928,Sức Đánh
N,"public void a(int, java.lang.Object);",2639,9717,4,574924928,Giáp
N,"public void a(int, java.lang.Object);",2746,29299,14,574924928,CỘNG TIỀM NĂNG
N,"public void a(int, java.lang.Object);",2941,29313,17,574924928,Đã khoá mục tiêu 
N,"public void a(int, java.lang.Object);",3009,29330,20,574924928,Đã huỷ khoá mục tiêu
N,"public void a(int, java.lang.Object);",3082,29350,6,574924928,alogin
N,"public void a(int, java.lang.Object);",3124,29356,2,574924928,sz
N,"public void a(int, java.lang.Object);",3177,29358,3,574924928,acn
N,"public void a(int, java.lang.Object);",3220,29361,3,574924928,abh
N,"public void a(int, java.lang.Object);",3263,29364,3,574924928,abk
N,"public void a(int, java.lang.Object);",3306,29367,3,574924928,agx
N,"public void a(int, java.lang.Object);",3349,29370,3,574924928,aad
N,"public void a(int, java.lang.Object);",3392,29373,3,574924928,akt
N,"public void a(int, java.lang.Object);",3433,29376,3,574924928,amd
N,"public void a(int, java.lang.Object);",3476,29379,31,574924928,itemId-effectId;itemId-effectId
N,"public void a(int, java.lang.Object);",3525,29410,5,574924928,anhat
N,"public void a(int, java.lang.Object);",3568,29415,5,574924928,locdo
N,"public void a(int, java.lang.Object);",3661,29420,23,574924928,Đánh quái gần nhất: Bật
N,"public void a(int, java.lang.Object);",3727,29443,16,574924928,Đánh sư phụ: Bật
N,"public void a(int, java.lang.Object);",3776,29459,15,574924928,Đánh đệ tử: Bật
N,"public void a(int, java.lang.Object);",3857,29474,20,574924928,Đánh khi đệ kêu: Tắt
N,"public void a(int, java.lang.Object);",3910,29494,5,574924928,cflag
N,"public void a(int, java.lang.Object);",3959,29499,17,574924928,Giới hạn sức mạnh
N,"public void a(int, java.lang.Object);",4003,1573,3,574924928,out
N,"public void a(int, java.lang.Object);",4042,29516,3,574924928,kok
N,"public void a(int, java.lang.Object);",4085,29519,2,574924928,nb
N,"public void a(int, java.lang.Object);",4127,29521,3,574924928,kvt
N,"public void a(int, java.lang.Object);",4190,29524,6,574924928,xindau
N,"public void a(int, java.lang.Object);",4233,29530,6,574924928,chodau
N,"public void a(int, java.lang.Object);",4276,29536,6,574924928,thudau
N,"public void a(int, java.lang.Object);",4319,29542,2,574924928,gb
N,"public void a(int, java.lang.Object);",4478,29544,4,574924928,TDHS
N,"public void a(int, java.lang.Object);",4586,29548,19,574924928,Xóa hiệu ứng TDHS: 
N,"public void a(int, java.lang.Object);",4621,991,3,574924928,Bật
N,"public void a(int, java.lang.Object);",4653,994,3,574924928,Tắt
N,"public void a(int, java.lang.Object);",4722,29567,15,574924928,Nhập mã màu rgb
N,"public void a(int, java.lang.Object);",4771,29582,23,574924928,Nhập tốc chạy (0 - 100)
N,"public void a(int, java.lang.Object);",4818,29605,23,574924928,Nhập tốc game (0 - 100)
N,"public void a(int, java.lang.Object);",4867,29628,15,574924928,Nhập delay xmap
N,"public void a(int, java.lang.Object);",4916,29643,16,574924928,Nhập delay login
N,"public void a(int, java.lang.Object);",5000,29659,5,574924928,view5
N,"public void a(int, java.lang.Object);",5055,29664,5,574924928,view6
N,"public void a(int, java.lang.Object);",5110,29669,12,574924928,Nhập KC nhặt
N,"public void a(int, java.lang.Object);",5159,29681,15,574924928,Nhập KC tàn sát
N,"public void a(int, java.lang.Object);",5235,29696,1,574924928,g
N,"public void a(int, java.lang.Object);",5285,29161,4,574924928,xmap
N,"public void a(int, java.lang.Object);",5326,29697,12,574924928,Đã dừng Xmap
N,public void br();,45,28948,5,574924928,vMenu
N,public void br();,86,29709,16,574924928,Thông Báo Boss: 
N,public void br();,119,991,3,574924928,Bật
N,public void br();,150,994,3,574924928,Tắt
N,public void br();,213,29725,17,574924928,Người Trong Map: 
N,public void br();,248,991,3,574924928,Bật
N,public void br();,280,994,3,574924928,Tắt
N,public void br();,343,29742,18,574924928,Thông Tin Sư Phụ: 
N,public void br();,378,991,3,574924928,Bật
N,public void br();,410,994,3,574924928,Tắt
N,public void br();,473,29760,17,574924928,Thông Tin Đệ Tử: 
N,public void br();,508,991,3,574924928,Bật
N,public void br();,540,994,3,574924928,Tắt
N,public void br();,603,29777,14,574924928,Thông Tin Up: 
N,public void br();,638,991,3,574924928,Bật
N,public void br();,670,994,3,574924928,Tắt
N,public void br();,733,29791,17,574924928,Check Thông Tin: 
N,public void br();,768,991,3,574924928,Bật
N,public void br();,799,994,3,574924928,Tắt
N,public void br();,855,28931,10,574924928,< Quay lại
N,public void br();,947,29808,8,574924928,HIỂN THỊ
N,public void bs();,45,28948,5,574924928,vMenu
N,public void bs();,86,29816,10,574924928,Ẩn Người: 
N,public void bs();,119,991,3,574924928,Bật
N,public void bs();,150,994,3,574924928,Tắt
N,public void bs();,213,29826,9,574924928,Ẩn Quái: 
N,public void bs();,248,991,3,574924928,Bật
N,public void bs();,280,994,3,574924928,Tắt
N,public void bs();,343,29835,9,574924928,Ẩn Item: 
N,public void bs();,378,991,3,574924928,Bật
N,public void bs();,410,994,3,574924928,Tắt
N,public void bs();,466,28931,10,574924928,< Quay lại
N,public void bs();,558,29844,7,574924928,ẨN/HIỆN
N,public void bt();,45,28948,5,574924928,vMenu
N,public void bt();,130,29851,7,574924928,Capsule
N,public void bt();,234,29858,8,574924928,Bông tai
N,public void bt();,284,29866,10,574924928,Chuyển khu
N,public void bt();,334,29876,9,574924928,Di chuyển
N,public void bt();,391,29885,9,574924928,Tàn Sát: 
N,public void bt();,426,991,3,574924928,Bật
N,public void bt();,458,994,3,574924928,Tắt
N,public void bt();,514,29894,8,574924928,Tiện ích
N,public void bt();,564,29902,9,574924928,Chức năng
N,public void bt();,614,29911,7,574924928,Cài đặt
N,public void bt();,664,29918,9,574924928,Hướng dẫn
N,public void bt();,756,29927,14,574924928,MENU HÙNG HERO
N,public void bu();,45,28948,5,574924928,vMenu
N,public void bu();,79,29941,10,574924928,Auto Login
N,public void bu();,125,29951,9,574924928,Auto Item
N,public void bu();,181,29960,11,574924928,Auto Nhặt: 
N,public void bu();,216,991,3,574924928,Bật
N,public void bu();,248,994,3,574924928,Tắt
N,public void bu();,304,29971,8,574924928,Auto Đậu
N,public void bu();,361,29979,8,574924928,Goback: 
N,public void bu();,396,991,3,574924928,Bật
N,public void bu();,428,994,3,574924928,Tắt
N,public void bu();,491,29987,8,574924928,Lọc Đồ: 
N,public void bu();,526,991,3,574924928,Bật
N,public void bu();,558,994,3,574924928,Tắt
N,public void bu();,614,29995,15,574924928,Chức Năng Đệ Tử
N,public void bu();,664,28931,10,574924928,< Quay lại
N,public void bu();,756,30010,9,574924928,CHỨC NĂNG
N,public void bv();,45,28948,5,574924928,vMenu
N,public void bv();,86,30019,11,574924928,Hào Quang: 
N,public void bv();,119,991,3,574924928,Bật
N,public void bv();,150,994,3,574924928,Tắt
N,public void bv();,213,30030,12,574924928,Bom & QCKK: 
N,public void bv();,248,991,3,574924928,Bật
N,public void bv();,280,994,3,574924928,Tắt
N,public void bv();,343,30042,9,574924928,Hợp Thể: 
N,public void bv();,378,991,3,574924928,Bật
N,public void bv();,410,994,3,574924928,Tắt
N,public void bv();,473,30051,19,574924928,Thái Dương Hạ San: 
N,public void bv();,508,991,3,574924928,Bật
N,public void bv();,540,994,3,574924928,Tắt
N,public void bv();,596,28931,10,574924928,< Quay lại
N,public void bv();,688,30070,8,574924928,HIỆU ỨNG
N,public void bw();,45,28948,5,574924928,vMenu
N,public void bw();,74,30078,10,574924928,ReadMe.txt
N,public void bw();,124,30088,1,574924928,"
"
N,public void bw();,344,30089,9,574924928,HƯỚNG DẪN
N,public void bx();,45,30098,10,574924928,vCharInMap
N,public void bx();,168,1941,9,574924928,Trọng tài
N,public void bx();,218,2266,1,574924928,.
N,public void bx();,293,28931,10,574924928,< Quay lại
N,public void bx();,381,30108,8,574924928,MỤC TIÊU
N,public void by();,45,28948,5,574924928,vMenu
N,public void by();,86,30116,9,574924928,Xin Đậu: 
N,public void by();,119,991,3,574924928,Bật
N,public void by();,150,994,3,574924928,Tắt
N,public void by();,213,30125,9,574924928,Cho Đậu: 
N,public void by();,248,991,3,574924928,Bật
N,public void by();,280,994,3,574924928,Tắt
N,public void by();,343,30134,9,574924928,Thu Đậu: 
N,public void by();,378,991,3,574924928,Bật
N,public void by();,410,994,3,574924928,Tắt
N,public void by();,466,28931,10,574924928,< Quay lại
N,public void by();,558,30143,8,574924928,AUTO ĐẬU
N,public void bz();,45,28948,5,574924928,vMenu
N,public void bz();,85,30151,20,574924928,Đánh Khi Đệ Kêu: Tắt
N,public void bz();,141,30171,13,574924928,Quái gần nhất
N,public void bz();,190,30184,11,574924928,Đánh sư phụ
N,public void bz();,240,30195,10,574924928,Đánh đệ tử
N,public void bz();,279,30205,17,574924928,Đánh Khi Đệ Kêu: 
N,public void bz();,346,30222,18,574924928,Treo Cờ Chống PK: 
N,public void bz();,381,991,3,574924928,Bật
N,public void bz();,413,994,3,574924928,Tắt
N,public void bz();,476,30240,17,574924928,Thoát Khi Đủ SM: 
N,public void bz();,511,991,3,574924928,Bật
N,public void bz();,543,994,3,574924928,Tắt
N,public void bz();,606,30257,14,574924928,Auto Kaioken: 
N,public void bz();,641,991,3,574924928,Bật
N,public void bz();,673,994,3,574924928,Tắt
N,public void bz();,736,30271,9,574924928,Né Boss: 
N,public void bz();,771,991,3,574924928,Bật
N,public void bz();,801,994,3,574924928,Tắt
N,public void bz();,864,30280,13,574924928,Khoá Vị Trí: 
N,public void bz();,899,991,3,574924928,Bật
N,public void bz();,931,994,3,574924928,Tắt
N,public void bz();,985,28931,10,574924928,< Quay lại
N,public void bz();,1077,30293,15,574924928,CHỨC NĂNG ĐỆ TỬ
N,public void bA();,45,28948,5,574924928,vMenu
N,public void bA();,79,30308,9,574924928,Auto Chat
N,public void bA();,125,30317,8,574924928,Buff Đậu
N,public void bA();,174,30325,9,574924928,Đánh quái
N,public void bA();,224,30334,7,574924928,Nhặt Đồ
N,public void bA();,274,30341,6,574924928,Porata
N,public void bA();,324,30347,20,574924928,Đánh Chuyển Mục Tiêu
N,public void bA();,374,30367,12,574924928,Auto Kaioken
N,public void bA();,424,30379,10,574924928,Auto Skill
N,public void bA();,474,30389,6,574924928,Lọc Đồ
N,public void bA();,524,30395,8,574924928,Săn Boss
N,public void bA();,574,30403,16,574924928,Điều Khiển Từ Xa
N,public void bA();,624,30419,11,574924928,Auto On-Off
N,public void bA();,674,30430,4,574924928,Xmap
N,public void bA();,724,30434,7,574924928,Ảnh Nền
N,public void bA();,773,30441,17,574924928,Tự Động Luyện Tập
N,public void bA();,823,28931,10,574924928,< Quay lại
N,public void bA();,915,30458,7,574924928,CÀI ĐẶT
N,public void g(nro.bF);,160,30465,9,574924928,Dừng Xmap
N,public void bB();,45,28948,5,574924928,vMenu
N,public void bB();,79,30474,18,574924928,"Đánh Quái
Gần Nhất"
N,public void bB();,143,30492,11,574924928,Đánh Sư Phụ
N,public void bB();,207,30503,10,574924928,Đánh Đệ Tử
N,public void bB();,274,28931,10,574924928,< Quay lại
N,public void bB();,366,30513,15,574924928,ĐÁNH KHI ĐỆ KÊU
N,public void bC();,103,30528,9,574924928,Dừng xmap
N,public static void bD();,269,3,2,574924928,  
N,public static void bD();,349,5,3,574924928,   
N,public static void bD();,872,2,1,574924928, 
N,public static void bD();,1586,2,1,574924928, 
N,public void bE();,45,28948,5,574924928,vMenu
N,public void bE();,86,30537,12,574924928,Tự Kết Nối: 
N,public void bE();,119,991,3,574924928,Bật
N,public void bE();,150,994,3,574924928,Tắt
N,public void bE();,213,30549,13,574924928,Vào Lại Khu: 
N,public void bE();,248,991,3,574924928,Bật
N,public void bE();,280,994,3,574924928,Tắt
N,public void bE();,336,28931,10,574924928,< Quay lại
N,public void bE();,428,30562,10,574924928,AUTO LOGIN
N,public void bF();,45,28948,5,574924928,vMenu
N,public void bF();,86,30572,9,574924928,Màu Nền: 
N,public void bF();,151,30581,10,574924928,Tốc Chạy: 
N,public void bF();,219,30591,10,574924928,Tốc Game: 
N,public void bF();,292,30601,12,574924928,Delay Xmap: 
N,public void bF();,327,1431,2,574924928,ms
N,public void bF();,390,30613,13,574924928,Delay Login: 
N,public void bF();,425,1431,2,574924928,ms
N,public void bF();,488,30626,9,574924928,KC Nhặt: 
N,public void bF();,557,30635,12,574924928,KC Tàn Sát: 
N,public void bF();,619,28931,10,574924928,< Quay lại
N,public void bF();,711,30647,9,574924928,TÙY CHỈNH
O,public static void bG();,112,5,3,574924928,   
O,public static {};,13,30729,10,574924928,RemoveChar
O,public static {};,32,30739,9,574924928,RemoveMob
O,public static {};,51,30748,10,574924928,RemoveItem
O,public static {};,70,29206,8,574924928,SuperEff
O,public static {};,89,29229,8,574924928,BombQCKK
O,public static {};,108,29263,6,574924928,Fusion
O,public static {};,126,29544,4,574924928,TDHS
P,public static void b(nro.bv);,141,814,8,574924928,Đã thêm 
P,public static void b(nro.bv);,175,822,35,574924928, vào danh sách đánh chuyển mục tiêu
P,public static void b(nro.bv);,261,857,7,574924928,Đã xóa 
P,public static void b(nro.bv);,297,864,36,574924928, khỏi danh sách đánh chuyển mục tiêu
P,public static void bK();,143,900,32,574924928,Danh sách chuyển mục tiêu trống!
P,public static void bL();,54,5,3,574924928,   
P,public static void bL();,137,2,1,574924928, 
P,public static void bL();,166,2,1,574924928, 
P,public static void bL();,215,2,1,574924928, 
P,public static void bL();,255,2,1,574924928, 
Q,public static void bM();,98,2,1,574924928, 
Q,public static void bM();,136,2,1,574924928, 
Q,public static void bN();,254,30988,19,574924928,Không vào được khu 
Q,public static void bN();,289,31007,8,574924928,", bỏ qua"
Q,public static void bN();,471,31015,11,574924928,Đang ở khu 
Q,public static void bN();,506,31026,6,574924928,", đợi "
Q,public static void bN();,560,31032,5,574924928,s nữa
Q,public static void bN();,801,31037,17,574924928,Chuyển sang khu: 
Q,public static void bN();,932,31054,14,574924928,Đã thấy boss: 
R,"public static void a(short, int);",46,1952,1,574924928,;
R,"public static void a(short, int);",145,1576,1,574924928,-
R,"public static void a(short, int);",197,1576,1,574924928,-
R,"public static void a(short, int);",229,1952,1,574924928,;
R,"public static void a(short, int);",297,1952,1,574924928,;
R,"public static void a(short, int);",359,1576,1,574924928,-
R,"public static void a(short, int);",392,1952,1,574924928,;
R,"public static void a(short, int);",429,1629,10,574924928,ItemConfig
R,public static void bQ();,77,1952,1,574924928,;
R,public static void bQ();,125,1576,1,574924928,-
R,public static void bS();,142,2,1,574924928, 
R,public static void bS();,185,2,1,574924928, 
R,public static void bS();,225,2,1,574924928, 
R,public static void bS();,1212,3,2,574924928,  
S,"public static java.lang.String a(java.lang.String, java.lang.String);",47,328,5,574924928,UTF-8
S,"public static java.lang.String a(java.lang.String, java.lang.String);",77,328,5,574924928,UTF-8
