class,method,pc,offset,length,key,text
C,public static java.lang.String b();,601,46360,13,574924928,[Đang Login: 
aL,public final void b(byte[]);,31,43017,13,574924928,GET KEYSKILL!
aL,public final void b(byte[]);,77,43030,22,574924928,LOAD DEFAULT KEY SKILL
aL,public static {};,53,43091,6,574924928,vPtMap
aL,public static {};,118,30098,10,574924928,vCharInMap
aL,public static {};,140,43112,8,574924928,vItemMap
aL,public static {};,312,43143,12,574924928,vItemUpGrade
aL,public static {};,975,43522,22,574924928,/mainImage/i_khung.png
aL,public static {};,1191,43857,31,574924928,/mainImage/myTexture2dskill.png
aL,public static {};,1209,43888,32,574924928,/mainImage/myTexture2dskill2.png
aL,public static {};,1374,44099,30,574924928,/mainImage/myTexture2dchat.png
aL,public static {};,1392,44129,31,574924928,/mainImage/myTexture2dchat2.png
aL,public static {};,1709,40187,12,574924928,NRmapVersion
aL,public static {};,1725,40244,14,574924928,NRskillVersion
aL,public static {};,1741,39272,13,574924928,NRitemVersion
aL,public static void b(nro.aD);,31,44680,16,574924928,DO SET KEY SKILL
aL,"public void b(nro.bP, boolean);",167,44714,19,574924928,>>>use skill spec: 
aL,"public void b(nro.bP, boolean);",278,44733,19,574924928,use skill not focus
aL,"public void b(nro.bP, boolean);",339,44752,17,574924928,only select skill
aL,public nro.aL();,725,44787,10,574924928,chat world
aL,public final void ct();,5636,29161,4,574924928,xmap
aL,"public static final void h(int, int);",1310,36955,8,574924928,viewchat
aL,"public static final void h(int, int);",1376,36955,8,574924928,viewchat
aL,public final void c(byte[]);,31,44829,18,574924928,GET ONSCREENSKILL!
aL,public final void c(byte[]);,104,44847,27,574924928,LOAD DEFAULT ONSCREEN SKILL
aL,public final void d(byte[]);,31,44902,17,574924928,GET CURRENTSKILL!
aU,public final void eZ();,78,32869,10,574924928,serverchat
aU,public final void eZ();,119,32869,10,574924928,serverchat
ab,public static {};,16,32918,13,574924928,imgNew BgItem
ay,public nro.ay();,512,27531,7,574924928,/mymap/
ay,public static void a(byte[]);,63,27471,15,574924928,/mymap/mapTable
ay,public static void a(byte[]);,125,27486,25,574924928,MapTemplate.vCurrItem[a] 
ay,public static void a(byte[]);,318,27511,15,574924928,/mapBackGround/
ay,public static void a(byte[]);,423,27511,15,574924928,/mapBackGround/
bB,public static {};,13,48750,6,574924928,VSKILL
bQ,public static void a(byte);,468,2778,42,574924928,Bạn có chắc muốn nhặt vật phẩm này không ?
bQ,public static void a(byte);,641,2872,14,574924928,Chức năng auto
bQ,public static void a(byte);,669,2886,174,574924928,"Bạn có chắc muốn kết hợp vĩnh viễn với đệ tử của mình không? Bạn sẽ mất đệ tử và toàn bộ trang bị đệ tử đang mặc, toàn bộ sức mạnh của đệ tử sẽ chuyển thành tiềm năng của bạn"
bQ,public static void a(byte);,958,3166,5,574924928,Đệ tử
bQ,public static void a(byte);,1619,3783,63,574924928,Bạn phải hoàn thành nhiệm vụ tìm ngọc 6 sao mới có thể nạp tiền
bQ,public static void a(byte);,3817,5303,11,574924928,Đổi khu vực
bQ,public static void a(byte);,3846,5314,12,574924928,Chọn khu vực
bQ,public static void a(byte);,4832,5506,10,574924928,Chat riêng
bQ,public static void a(byte);,7061,5728,42,574924928,Đã hết đậu thần. Cậu hãy về thu hoạch thêm
bQ,public static void a(byte);,7090,5770,22,574924928,Bạn đang ở khu vực này
bQ,public static void a(byte);,7221,5806,18,574924928, để nhận nhiệm vụ.
bQ,public static void a(byte);,7260,5824,94,574924928,"Bạn đã hoàn thành hết nhiệm vụ phiên bản này, vui lòng chờ cho đến khi ra phiên bản tiếp theo."
bQ,public static void a(byte);,7526,5954,8,574924928,Nhiệm vụ
bQ,public static void a(byte);,7619,5969,43,574924928,Đậu thần dùng để tăng KI và HP ngay lập tức
bQ,public static void a(byte);,7658,6012,94,574924928,"Bạn chỉ mang theo người được 10 hạt đậu. Nếu muốn mang nhiều hơn, hãy xin từ bạn bè trong Bang"
bQ,public static void a(byte);,7813,6334,93,574924928,Tập luyện với bạn bè tại khu vực thích hợp sẽ mang lại nhiều điểm tiềm năng hơn đánh quái vật
bQ,public static void a(byte);,7852,6427,58,574924928,"Khi được nâng cấp, đậu thần sẽ phục hồi nhiều HP và KI hơn"
bQ,public static void a(byte);,7969,6622,67,574924928,"Cây đậu thần kết một hạt sau một thời gian, cho dù bạn đang offline"
bQ,public static void a(byte);,8114,6886,69,574924928,"Sau khi gia nhập vào lớp học, thì có thể nhận nhiệm vụ từ hiệu trưởng"
bQ,public static void a(byte);,8600,7078,4,574924928,Chat
bQ,public static void a(byte);,9261,7284,13,574924928,Chat thế giới
bQ,public static void a(byte);,9994,7522,4,574924928,Item
bQ,public static void a(byte);,10043,7522,4,574924928,Item
bQ,public static void a(byte);,10092,7533,3,574924928,Khu
bQ,public static void a(byte);,10128,7539,7,574924928,Khu vực
bQ,public static void a(byte);,10160,7546,9,574924928,Item nhận
bQ,public static void a(byte);,10207,7567,52,574924928,Hãy đến vị trí chớp nháy trên bản đồ để làm nhiệm vụ
bQ,public static void a(byte);,10619,7921,11,574924928,Chat player
bQ,public static void a(byte);,10635,7932,8,574924928,Chat với
bQ,public static void a(byte);,10699,7983,7,574924928,Cho đậu
bQ,public static void a(byte);,10715,7990,8,574924928,Nhận đậu
bQ,public static void a(byte);,10731,7998,7,574924928,Xin đậu
bQ,public static void a(byte);,10936,7078,4,574924928,Chat
bQ,public static void a(byte);,11249,8118,3,574924928,đậu
bQ,public static void a(byte);,11472,8308,9,574924928,Chat bang
bQ,public static void a(byte);,11963,8741,9,574924928,Cho đệ tử
bQ,public static void a(byte);,12375,9238,39,574924928,Bạn không đủ ngọc để chat kênh thế giới
bQ,public static void a(byte);,12391,9277,27,574924928,Chat kênh thế giới (5 ngọc)
bQ,public static void a(byte);,12455,9377,27,574924928,tiềm năng đến Sư phụ để học
bQ,public static void a(byte);,13500,9978,17,574924928,Địa điểm nhiệm vụ
bQ,public static void a(byte);,13516,9995,17,574924928,Không có nhiệm vụ
bQ,public static void a(byte);,13548,10031,19,574924928,Nhiệm vụ thành tích
bQ,public static void a(byte);,13642,10082,24,574924928,Chọn để ẩn chat thế giới
bQ,public static void a(byte);,13658,10106,26,574924928,Chọn để hiện chat thế giới
bQ,public static void a(byte);,13779,10229,41,574924928,Go to Whis (Beerus Planet) to learn skill
bQ,public static void a(byte);,13795,10270,75,574924928,"When reach maximum proficiency, go to Whis (Beerus Planet) to upgrade skill"
bW,public static void ad();,521,20119,21,574924928,Auto terlahir kembali
bW,public static void ad();,550,20140,11,574924928,Auto fungsi
bW,public static void ad();,1643,21189,27,574924928,Tidak ada item untuk dibeli
bW,public static void ad();,4623,22877,12,574924928,Chat pribadi
bW,public static void ad();,4782,13468,5,574924928,Quest
bW,public static void ad();,4966,13270,5,574924928,Skill
bW,public static void ad();,5169,13468,5,574924928,Quest
bW,public static void ad();,5353,13270,5,574924928,Skill
bW,public static void ad();,6846,23130,21,574924928,untuk menerima quest.
bW,public static void ad();,6885,23151,49,574924928,Kamu telah menyelesaikan semua quest di versi ini
bW,public static void ad();,7318,23326,56,574924928,Semua skill bisa dipelajari dengan gratis di Kame-Sennin
bW,public static void ad();,7396,23428,60,574924928,Kamu tidak bisa terbang atau menggunakan skill jika KI habis
bW,public static void ad();,7932,24143,72,574924928,"Setelah bergabung di kelas, kamu akan menerima quest dari Kepala Sekolah"
bW,public static void ad();,8417,7078,4,574924928,Chat
bW,public static void ad();,8735,24403,10,574924928,Bunuh boss
bW,public static void ad();,9082,15099,10,574924928,World chat
bW,public static void ad();,9252,24612,11,574924928,Aura khusus
bW,public static void ad();,10036,24753,11,574924928,Terima item
bW,public static void ad();,10307,7078,4,574924928,Chat
bW,public static void ad();,10499,25091,18,574924928,Chat dengan pemain
bW,public static void ad();,10515,25109,11,574924928,Chat dengan
bW,public static void ad();,10806,7078,4,574924928,Chat
bW,public static void ad();,11309,25484,9,574924928,Chat clan
bW,public static void ad();,11928,26188,28,574924928,Kamu telah memiliki item ini
bW,public static void ad();,11944,26216,40,574924928,Harap diunlock sebelum bertukar item ini
bW,public static void ad();,12020,26276,10,574924928,Pilih item
bW,public static void ad();,12098,26349,49,574924928,Apakah kamu yakin ingin bertukar dengan item ini?
bW,public static void ad();,12194,26507,43,574924928,Tidak cukup gem untuk chat di world channel
bW,public static void ad();,12210,26550,29,574924928,Chat di world channel (5 gem)
bW,public static void ad();,13092,27240,12,574924928,Tempat quest
bW,public static void ad();,13108,27252,26,574924928,Kamu tidak memiliki quest.
bW,public static void ad();,13140,27299,17,574924928,Quest achievement
bX,public nro.bX();,292,27471,15,574924928,/mymap/mapTable
bX,public nro.bX();,358,27486,25,574924928,MapTemplate.vCurrItem[a] 
bX,public nro.bX();,555,27511,15,574924928,/mapBackGround/
bX,public nro.bX();,658,27511,15,574924928,/mapBackGround/
bX,public static void a(byte[]);,57,27531,7,574924928,/mymap/
bb,"public final void a(int, java.lang.Object);",1345,45600,11,574924928,vMenu Login
bb,public final void fk();,228,45629,11,574924928,isLogin 2= 
bn,public static {};,12,46108,32,574924928,/mainImage/myTexture2dhatdau.png
bq,"public final void a(int, java.lang.Object);",1128,45600,11,574924928,vMenu Login
br,public static void h(nro.bF);,122,46722,11,574924928,check Map= 
br,public static java.lang.String c(java.lang.String);,584,46760,8,574924928,Đậu thần
br,public static java.lang.String c(java.lang.String);,627,46760,8,574924928,Đậu thần
bv,public final void fI();,35,47834,5,574924928,items
bv,public nro.bv();,195,47932,6,574924928,vSkill
bv,public nro.bv();,231,47938,11,574924928,vSkillFight
bv,public final void q(java.lang.String);,41,48027,10,574924928,sao sư phụ
bv,public final nro.bv f();,178,39499,12,574924928,item.options
bv,public void ad();,6986,48316,42,574924928,<*> 11 Hoàn thành skill not focus -  STAND
bv,public void ad();,7595,48388,45,574924928,<*> 12 kết thúc skill  qua cau kinh khi 	FLY 
c,public static void l();,238,33092,40,574924928,Chưa có skill trong danh sách Auto Skill
cE,public nro.cE();,76,31068,6,574924928,vItems
cF,public static void u(int);,39,27531,7,574924928,/mymap/
cF,public static void v(int);,215,31084,14,574924928,Error Load Map
cF,public static {};,98,31101,7,574924928,vItemBg
cF,public static {};,121,31108,9,574924928,vCurrItem
cI,public static void k(nro.bV);,1129,31426,10,574924928, skillID= 
cI,public static void k(nro.bV);,2129,31426,10,574924928, skillID= 
cI,public static void k(nro.bV);,6424,31614,58,574924928,big boss--------------------------------------------------
cI,public static void k(nro.bV);,7955,31705,15,574924928,second login = 
cK,"public final void a(int, java.lang.Object);",59,31866,14,574924928,perform chat 1
cK,"public final void a(int, java.lang.Object);",157,31880,14,574924928,perform chat 2
cM,public final void y(java.lang.String);,32,31973,7,574924928,Login 2
cM,public final void hN();,32,32021,13,574924928,finishLoadMap
cM,"public final void a(java.lang.String, java.lang.String, java.lang.String, java.lang.String);",39,32296,17,574924928,Request Register 
cM,"public final void a(byte, int, byte, int, int);",74,32363,10,574924928, item id= 
cM,public final void C(java.lang.String);,52,32452,10,574924928,Send chat 
cM,public final void O(int);,32,32476,17,574924928,request bag image
cM,public final void g(byte);,32,32524,18,574924928,request magic tree
cM,"public final void b(byte, nro.bT);",39,32542,25,574924928,request resource action= 
cM,public final void X(int);,32,32587,14,574924928,GUI THACH DAUA
cM,"public final void a(java.lang.String, java.lang.String, java.lang.String, byte);",39,32601,6,574924928,Login 
cM,public final void if();,32,32624,16,574924928,send map offline
cM,public final void Y(int);,48,32674,14,574924928, SELECT SKILL 
cM,public final void j(byte);,39,32688,19,574924928,Skill not focus so 
cM,public final void ac(int);,32,32524,18,574924928,request magic tree
cT,public final void cp();,85,32869,10,574924928,serverchat
cT,public final void cp();,123,32869,10,574924928,serverchat
cU,"public final void e(java.lang.String, int);",64,32905,11,574924928,khu vực này
cY,"public void commandAction(javax.microedition.lcdui.Command, javax.microedition.lcdui.Displayable);",297,932,15,574924928,Setup_AutoOnOff
cY,public static {};,62,932,15,574924928,Setup_AutoOnOff
cY,public nro.cY();,64,978,13,574924928,• Auto On-Off
ca,public void co();,71,28027,23,574924928,ERR setSoundSkill_END: 
ca,public void cB();,1627,28081,7,574924928,Skills_
cd,public static {};,32,28288,35,574924928,/mainImage/myTexture2ditemaura1.png
cd,public static {};,51,28323,35,574924928,/mainImage/myTexture2ditemaura2.png
cd,public static {};,70,28358,35,574924928,/mainImage/myTexture2ditemaura3.png
cs,"public final void d(nro.bF, int, int, int);",1454,786,14,574924928,Nhấn # để chat
cs,"public final void d(nro.bF, int, int, int);",1545,800,14,574924928,Nhấn Y để chat
da,"public void commandAction(javax.microedition.lcdui.Command, javax.microedition.lcdui.Displayable);",163,33689,21,574924928,Setup_AutoChangeFocus
da,public static {};,26,33689,21,574924928,Setup_AutoChangeFocus
db,public static {};,44,35773,14,574924928,Setup_AutoChat
db,public nro.db();,63,35787,11,574924928,• Auto Chat
db,public nro.db();,133,35798,14,574924928,Chat Công Cộng
db,public nro.db();,171,35812,13,574924928,Chat Thế Giới
db,public nro.db();,301,35834,18,574924928,Chat sau X millis:
db,"public void commandAction(javax.microedition.lcdui.Command, javax.microedition.lcdui.Displayable);",185,35773,14,574924928,Setup_AutoChat
dc,public static void iy();,106,37211,14,574924928,Setup_PickItem
dc,public nro.dc();,63,37225,11,574924928,• Auto Nhặt
dc,public nro.dc();,267,37236,13,574924928,• Chế Độ Nhặt
dc,public nro.dc();,381,37249,7,574924928,ID Item
dc,public nro.dc();,441,37256,13,574924928,ID item nhặt:
dc,public nro.dc();,511,37269,19,574924928,ID item không nhặt:
dc,public static {};,58,37211,14,574924928,Setup_PickItem
de,public nro.de();,63,39087,14,574924928,• Auto Kaioken
de,"public void commandAction(javax.microedition.lcdui.Command, javax.microedition.lcdui.Displayable);",135,39188,17,574924928,Setup_AutoKaioken
de,public static {};,36,39188,17,574924928,Setup_AutoKaioken
dg,public nro.dg();,64,1817,13,574924928,• Auto Porata
dg,public static {};,47,1925,16,574924928,Setup_AutoPorata
dg,"public void commandAction(javax.microedition.lcdui.Command, javax.microedition.lcdui.Displayable);",317,1925,16,574924928,Setup_AutoPorata
dh,"public void commandAction(javax.microedition.lcdui.Command, javax.microedition.lcdui.Displayable);",236,45664,14,574924928,Setup_AutoPlay
dh,public static {};,96,45664,14,574924928,Setup_AutoPlay
dh,public nro.dh();,267,45698,16,574924928,• Chế Độ Tàn Sát
dh,public nro.dh();,587,45827,46,574924928,"• Né siêu quái khi dùng chế độ tàn sát 3, 4, 5"
dh,public nro.dh();,824,45884,25,574924928,• Chuyển Khu Khi Lag Quái
dh,public nro.dh();,999,45909,14,574924928,Danh sách khu:
dh,public nro.dh();,1064,45923,25,574924928,• Chuyển Khu Khi Hết Quái
dh,public nro.dh();,1239,45909,14,574924928,Danh sách khu:
